"Table 1.12 Factors affecting occupational utilization, projected 2019–29",,,,
Occupation Title,Occupation Code,Industry Title,Industry Code,Factors affecting occupational utilization
Chief executives,11–1011,Total employment,TE1000,Productivity change – share decreases as changing organizational structures allow fewer chief executives to manage the day-to-day operations of an organization. 
Advertising and promotions managers,11–2011,Automobile dealers,441100,Productivity change – share decreases as consolidation of back office jobs allows same amount of output to be produced by fewer advertising and marketing managers.
Marketing managers,11–2021,Automobile dealers,441100,Productivity change – share decreases as consolidation of back office functions allow the same amount of output to be produced by fewer advertising and marketing managers.
Financial managers,11–3031,Total employment,TE1000,"Demand change – share increases as several economic trends, including a greater emphasis on risk management and increases in corporate cash holdings, will increase demand for financial managers."
"Transportation, storage, and distribution managers",11–3071,Couriers and express delivery services,492100,"Demand change – share decreases as mergers reduce the number of transportation, storage, and distribution managers."
Compensation and benefits managers,11–3111,Total employment,TE1000,"Sourcing change, capital/labor substitution – share decreases as compensation and benefits activities continue to be outsourced or automated through specialized software. "
Compensation and benefits managers,11–3111,"Accounting, tax preparation, bookkeeping, and payroll services",541200,Sourcing change – share increases as employers outsource compensation research and analysis to companies that specialize in those services. 
Construction managers,11–9021,Total employment,TE1000,"Demand change – share increases as technical and process improvements increase the need for construction managers to track costs, materials, and schedules. "
Food service managers,11–9051,Elementary and secondary schools; local,611103,Sourcing change – share decreases as the use of food contractors increases. 
Food service managers,11–9051,Continuing care retirement communities and assisted living facilities for the elderly,623300,Demand change – share increases as the demand for this type of facility increases due to the aging population. 
Medical and health services managers,11–9111,Total employment,TE1000,Demand change – share increases as healthcare providers utilize broader team structures which will require increased use of specialized management. 
Postmasters and mail superintendents,11–9131,Postal service,491000,Demand change – share decreases as the number of post office managed retail offices continues to decline. 
Buyers and purchasing agents,13–1020,Total employment,TE1000,"Capital/labor substitution – share decreases as new technology allows organizations to automate tactical, routine procurement tasks once done by these workers."
Buyers and purchasing agents,13–1020,"State government, excluding education and hospitals",999200,"Capital/labor substitution, productivity change – share decreases as new technology allows organizations to automate tactical, routine procurement tasks once done by these workers. In addition, the increasing use of cooperative purchasing agreements in the public sector will allow localities to use fewer resources and staff to complete routine procurement functions."
Buyers and purchasing agents,13–1020,"Local government, excluding education and hospitals",999300,"Capital/labor substitution, productivity change – share decreases as new technology allows organizations to automate tactical, routine procurement tasks once done by these workers. In addition, the increasing use of cooperative purchasing agreements in the public sector will allow localities to use fewer resources and staff to complete routine procurement functions."
"Claims adjusters, examiners, and investigators",13–1031,Total employment,TE1000,"Productivity change – share decreases as computer software will automate much of this work, reducing the needed number of adjusters. "
"Claims adjusters, examiners, and investigators",13–1031,Insurance agencies and brokerages,524210,"Productivity change – share decreases as computer software will automate much of this work, reducing the needed number of adjusters. "
"Claims adjusters, examiners, and investigators",13–1031,Other insurance related activities,524290,"Productivity change – share decreases as computer software will automate much of this work, reducing the needed number of adjusters. "
"Insurance appraisers, auto damage",13–1032,Total employment,TE1000,"Productivity change, capital/labor substitution – share decreases as appraisal activities continue to be automated through specialized software. "
Cost estimators,13–1051,Total employment,TE1000,Productivity change – share decreases as cost estimation software has made this work more efficient.
Human resources specialists,13–1071,Total employment,TE1000,Sourcing change – share decreases as companies increasingly contract out human resources services to human resources services specialist firms and rely on software for more perfunctory HR activities. 
Human resources specialists,13–1071,"Accounting, tax preparation, bookkeeping, and payroll services",541200,Sourcing change – share increases as companies increasingly contract HR services from these firms. 
Human resources specialists,13–1071,"Management, scientific, and technical consulting services",541600,Sourcing change – share increases as companies increasingly contract HR services from these firms. 
Human resources specialists,13–1071,Office administrative services,561100,Sourcing change – share increases as companies increasingly contract HR services from these firms. 
Labor relations specialists,13–1075,Total employment,TE1000,"Demand change – share decreases as the percentage of workers who are union members declines, and fewer unionized workers means less need for labor relations specialists who work with management on their behalf. "
Management analysts,13–1111,"Federal government, excluding postal service",999100,Demand change – share increases as government agencies increasingly seek the expertise of public sector consultants.
Management analysts,13–1111,"State government, excluding education and hospitals",999200,Demand change – share increases as government agencies increasingly seek the expertise of public sector consultants.
Training and development specialists,13–1151,Computer systems design and related services,541500,Sourcing change – share increases as more outside materials are purchased for use rather than being developed in-house. 
Market research analysts and marketing specialists,13–1161,Total employment,TE1000,Demand change – share increases as businesses will need market research analysts to analyze the increasing amounts of data collected in order to support and improve business decisions.
Credit analysts,13–2041,Total employment,TE1000,Productivity change – share decreases as companies increase the productivity of credit analysts by using more data and machine learning in the credit risk analyses process.
Personal financial advisors,13–2052,"Credit intermediation and related activities (5221,3)",5220A1,"Demand change, productivity change – share increases as an aging population drives demand for investment advisory services. This demand will be partially offset by the use of robo-advisors in place of personal financial advisors."
Personal financial advisors,13–2052,"Securities, commodity contracts, and other financial investments and related activities",523000,"Demand change, productivity change – share increases as an aging population drives demand for investment advisory services. This demand will be partially offset by the use of robo-advisors in place of personal financial advisors."
Insurance underwriters,13–2053,Total employment,TE1000,"Productivity change – share decreases as automated underwriting systems will allow more applications to be handled by computer processing, reducing the needed number of insurance underwriters. "
Insurance underwriters,13–2053,Insurance agencies and brokerages,524210,"Productivity change – share decreases as automated underwriting systems will allow more applications to be handled by computer processing, reducing the needed number of insurance underwriters. "
Insurance underwriters,13–2053,Other insurance related activities,524290,"Productivity change – share decreases as automated underwriting systems will allow more applications to be handled by computer processing, reducing the needed number of insurance underwriters. "
Financial examiners,13–2061,Other nondepository credit intermediation,522290,"Demand change – share increases as financial institutions will devote more resources to regulatory compliance, including the hiring of financial examiners."
Financial examiners,13–2061,"Credit intermediation and related activities (5221,3)",5220A1,"Demand change – share increases as financial institutions will devote more resources to regulatory compliance, including the hiring of financial examiners."
Financial examiners,13–2061,"Securities, commodity contracts, and other financial investments and related activities",523000,"Demand change – share increases as financial institutions will devote more resources to regulatory compliance, including the hiring of financial examiners."
Financial examiners,13–2061,Management of companies and enterprises,551000,"Demand change – share increases as financial institutions will devote more resources to regulatory compliance, including the hiring of financial examiners."
Loan officers,13–2072,Other nondepository credit intermediation,522290,"Productivity change – share decreases as companies adopt automated systems, which can perform data processing tasks and require reduced interactions with customers, thereby enabling fewer officers to complete loan applications."
Loan officers,13–2072,"Credit intermediation and related activities (5221,3)",5220A1,"Productivity change – share decreases as companies adopt automated systems, which can perform data processing tasks and require reduced interactions with customers, thereby enabling fewer officers to complete loan applications."
"Tax examiners and collectors, and revenue agents",13–2081,"Federal government, excluding postal service",999100,Demand change – share decreases as IRS budget cuts continue to restrict employment of these workers more severely than for others in federal government.
Computer systems analysts,15–1211,Total employment,TE1000,Sourcing change – share decreases as firms and organizations in non-IT and related industries take advantage of the economies of scale afforded by cloud computing. These firms will also increasingly contract their IT needs as a way of cutting costs. 
Computer systems analysts,15–1211,Monetary authorities-central bank,521000,"Demand change – share increases as new digital payment systems continue to be introduced in the financial and monetary systems, requiring more computer systems analysts within the federal central bank system to analyze and maintain the integrity of those systems. "
Computer systems analysts,15–1211,"Direct insurance (except life, health, and medical) carriers",524120,"Demand change – share increases as companies require new technologies (chatbots, natural language, image, processing and machine learning) to support digitalization and automation of work processes. "
Computer systems analysts,15–1211,"Accounting, tax preparation, bookkeeping, and payroll services",541200,"Demand change – share increases as more devices, including software applications used on smart phones and other devices, will be needed to address data processing problems. "
Information security analysts,15–1212,Total employment,TE1000,Demand change – share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyber attacks aimed at sensitive or financial data. 
Information security analysts,15–1212,"Data processing, hosting, and related services",518000,Demand change – share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyber attacks aimed at sensitive or financial data. 
Information security analysts,15–1212,Monetary authorities-central bank,521000,Demand change – share increases as entities and agencies within the central bank system increase their IT security staffs and capabilities as a response to threats of cyber attacks aimed at sensitive or financial data related to the emerging digital payment systems. 
Information security analysts,15–1212,"Credit intermediation and related activities (5221,3)",5220A1,Demand change – share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyber attacks aimed at sensitive or financial data. 
Information security analysts,15–1212,Direct health and medical insurance carriers,524114,Demand change – share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyber attacks aimed at sensitive or financial data. 
Information security analysts,15–1212,"Direct insurance (except life, health, and medical) carriers",524120,Demand change – share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyber attacks aimed at sensitive or financial data. 
Information security analysts,15–1212,Computer systems design and related services,541500,Demand change – share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyber attacks aimed at sensitive or financial data. 
Information security analysts,15–1212,Management of companies and enterprises,551000,Demand change – share increases as firms increase their IT security staffs and capabilities as a response to increasing threats of cyber attacks aimed at sensitive or financial data. 
Computer and information research scientists,15–1221,Software publishers,511200,Demand change – share increases as demand for digital devices increases. 
Computer and information research scientists,15–1221,Computer systems design and related services,541500,Demand change – share increases as demand for digital devices increases. 
Computer and information research scientists,15–1221,"Research and development in the physical, engineering, and life sciences",541710,Demand change – share increases as demand for digital devices increases. 
Computer user support specialists,15–1232,Total employment,TE1000,"Sourcing change, productivity change – share decreases as specialized businesses and industries solve computer troubleshooting needs through automated tools such as chatbots, and businesses finds these tools handle most problems their users face. "
Computer user support specialists,15–1232,Computer systems design and related services,541500,"Sourcing change, productivity change – share increases as companies outsource their Information Technology (IT) needs to this industry, and specialists respond to complex user requests that cannot be solved through increasingly automated software tools. "
Computer network architects,15–1241,Total employment,TE1000,Sourcing change – share decreases as firms and organizations in non-IT and related industries take advantage of the economies of scale afforded by cloud computing. These firms will also increasingly contract their IT needs as a way of cutting costs. 
Network and computer systems administrators,15–1244,Total employment,TE1000,Sourcing change – share decreases as firms and organizations in non-IT and related industries take advantage of the economies of scale afforded by cloud computing. 
Database administrators and architects,15–1245,"Data processing, hosting, and related services",518000,Demand change – shares increases as small- and medium-sized establishments increasingly adopt cloud services to meet their data needs. 
Computer programmers,15–1251,Total employment,TE1000,Sourcing change – share decreases as computer programming work continues to be offshored as a way to control costs. 
Software developers and software quality assurance analysts and testers,15–1256,Total employment,TE1000,"Demand change – share increases as more devices include software components and are connected to the internet. Application developers will be needed to design, create, and implement software to run on a wide variety of devices, from cars to household appliances to medical devices."
Software developers and software quality assurance analysts and testers,15–1256,Monetary authorities-central bank,521000,"Demand change – share increases as more devices include software components and are connected to the internet. Application developers will be needed to design, create, and implement software to run on a wide variety of devices within the federal central bank system. "
Software developers and software quality assurance analysts and testers,15–1256,Direct health and medical insurance carriers,524114,"Demand change – share increases as an increase in adoption of new technologies (chatbots, natural language, image, processing and machine learning) creates demand for application software development. "
Software developers and software quality assurance analysts and testers,15–1256,"Direct insurance (except life, health, and medical) carriers",524120,"Demand change – share increases as an increase in adoption of new technologies (chatbots, natural language, image, processing and machine learning) creates demand for application software development. "
"Computer occupations, all other",15–1299,Total employment,TE1000,Productivity change – share decreases as the tasks of computer operators are increasingly automated allowing fewer operators to monitor more systems. 
Actuaries,15–2011,Total employment,TE1000,"Demand change – share increases as a greater emphasis on identifying, quantifying, and managing risks leads to greater demand for actuaries to analyze the financial costs of risks and uncertainty."
Operations research analysts,15–2031,Total employment,TE1000,Demand change – share increases as larger amounts of digital and electronic data are collected over the next decade. Businesses in all industries will hire operations research analysts to analyze data to help optimize and improve business processes.
Statisticians,15–2041,Total employment,TE1000,Demand change – share increases as larger amounts of digital and electronic data are collected over the next decade. Businesses in all industries will hire statisticians to analyze data to help improve business processes and design and develop new products.
"Data scientists and mathematical science occupations, all other",15–2098,Total employment,TE1000,Demand change – share increases as larger amounts of digital and electronic data are collected over the next decade. Businesses in all industries will hire data scientists to analyze data to help improve business processes and design and develop new products.
"Architects, except landscape and naval",17–1011,Engineering services,541330,Occupational substitution – share increases as architects take on the duties formerly performed by architectural paraprofessionals. 
Aerospace engineers,17–2011,"Navigational, measuring, electromedical, and control instruments manufacturing",334500,Demand change – share increases as aerospace engineers are needed in developing new technologies stemming from wider commercial use of small satellites and drones.
Chemical engineers,17–2041,"Chemical manufacturing (3251,2,3,9)",3250A1,Demand change – share increases as firms in this industry continue hiring disproportionately more chemical engineers to implement new manufacturing processes for producing new outputs resulting from developments in such fields as biomaterials and synthetic biology. 
Chemical engineers,17–2041,Engineering services,541330,"Demand change – share increases as firms in this industry continue hiring disproportionately more chemical engineers to help clients of these firms implement new developments in such fields as biomaterials, biomedical engineering, bioprocessing, industrial biotechnology, etc."
Computer hardware engineers,17–2061,Computer systems design and related services,541500,"Demand change – share decreases as computer services are increasingly performed on larger, more centralized network and data centers. "
Electrical engineers,17–2071,Semiconductor and other electronic component manufacturing,334400,"Demand change – share increases as firms require new materials and architecture for semiconductor chips, in response to the expansion of the Internet of Things and increasing automation of production processes."
Electrical engineers,17–2071,Engineering services,541330,"Demand change – share increases as firms provide feasibility studies, plans, technical services, and cybersecurity to support investments in power grids."
"Electronics engineers, except computer",17–2072,Semiconductor and other electronic component manufacturing,334400,"Demand change – share increases as firms increase their output of semiconductor chips, in response to the expansion of the Internet of Things and increasing automation of production processes."
"Electronics engineers, except computer",17–2072,Telecommunications,517000,Demand change – share increases as firms in this industry take on more electronics engineers to meet rising demand regarding cyber security and communications security.
Environmental engineers,17–2081,Engineering services,541330,Demand change – share decreases as firms face less demand to work on environmental engineering projects owing to the likelihood of declining resources available for such projects.
Environmental engineers,17–2081,"Management, scientific, and technical consulting services",541600,Demand change – share decreases as firms face less demand to work on environmental engineering projects owing to the likelihood of declining resources available for such projects.
Industrial engineers,17–2112,Pharmaceutical and medicine manufacturing,325400,Demand change – share increases as this occupation provides expertise in lean operations and supply chains to remain competitive through adoption of automation.
